DATE,TIME,STREET1,STREET2,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INITDIR,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,PEDESTRIAN,SPEEDING,NEIGHBOURHOOD_158,DIVISION
12/26/2021 10:00:00 AM,1402,YONGE ST,RICHMOND ST E,Major Arterial,Toronto and East York,43.651618,-79.378948,At Intersection,Traffic Signal,Clear,Daylight,Dry,1,Pedestrian Collisions,Pedestrian,35 to 39,Unknown,Unknown,Unknown,Unknown,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,Unknown,Yes,No,Downtown Yonge East,D51
12/26/2021 10:00:00 AM,1402,YONGE ST,RICHMOND ST E,Major Arterial,Toronto and East York,43.651618,-79.378948,At Intersection,Traffic Signal,Clear,Daylight,Dry,1,Pedestrian Collisions,Pedestrian,35 to 39,Unknown,Unknown,Unknown,Unknown,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,Unknown,Yes,No,Downtown Yonge East,D51
12/26/2021 10:00:00 AM,1402,YONGE ST,RICHMOND ST E,Major Arterial,Toronto and East York,43.651618,-79.378948,At Intersection,Traffic Signal,Clear,Daylight,Dry,1,Pedestrian Collisions,Pedestrian,15 to 19,Unknown,Unknown,Unknown,Unknown,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,Unknown,Yes,No,Downtown Yonge East,D51
12/26/2021 10:00:00 AM,1402,YONGE ST,RICHMOND ST E,Major Arterial,Toronto and East York,43.651618,-79.378948,At Intersection,Traffic Signal,Clear,Daylight,Dry,1,Pedestrian Collisions,Driver,30 to 34,West,Turning Left,Improper Turn,Normal,Unknown,Unknown,Unknown,Unknown,Yes,No,Downtown Yonge East,D51
12/26/2021 10:00:00 AM,1402,YONGE ST,RICHMOND ST E,Major Arterial,Toronto and East York,43.651618,-79.378948,At Intersection,Traffic Signal,Clear,Daylight,Dry,1,Pedestrian Collisions,Driver,20 to 24,West,Going Ahead,Driving Properly,Normal,Unknown,Unknown,Unknown,Unknown,Yes,No,Downtown Yonge East,D51
12/26/2021 10:00:00 AM,1402,YONGE ST,RICHMOND ST E,Major Arterial,Toronto and East York,43.651618,-79.378948,At Intersection,Traffic Signal,Clear,Daylight,Dry,1,Pedestrian Collisions,Pedestrian,40 to 44,Unknown,Unknown,Unknown,Unknown,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,Unknown,Yes,No,Downtown Yonge East,D51
1/6/2022 10:00:00 AM,1942,LAWRENCE AVE E,BROCKLEY DR,Major Arterial,Scarborough,43.751959,-79.262477,At Intersection,Traffic Signal,Clear,Dark,Dry,1,Pedestrian Collisions,Passenger,20 to 24,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Bendale South,D41
1/6/2022 10:00:00 AM,1942,LAWRENCE AVE E,BROCKLEY DR,Major Arterial,Scarborough,43.751959,-79.262477,At Intersection,Traffic Signal,Clear,Dark,Dry,1,Pedestrian Collisions,Driver,20 to 24,East,Going Ahead,Failed to Yield Right of Way,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Bendale South,D41
1/6/2022 10:00:00 AM,1942,LAWRENCE AVE E,BROCKLEY DR,Major Arterial,Scarborough,43.751959,-79.262477,At Intersection,Traffic Signal,Clear,Dark,Dry,1,Pedestrian Collisions,Pedestrian,75 to 79,South,Unknown,Unknown,Unknown,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Normal,Unknown,Yes,No,Bendale South,D41
1/22/2022 10:00:00 AM,2306,WESTON RD,DEE AVE,Major Arterial,Etobicoke York,43.711131,-79.535136,Intersection Related,No Control,Clear,"Dark, artificial",Dry,1,Pedestrian Collisions,Driver,30 to 34,North,Going Ahead,Improper Passing,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Pelmo Park-Humberlea,D12
1/22/2022 10:00:00 AM,2306,WESTON RD,DEE AVE,Major Arterial,Etobicoke York,43.711131,-79.535136,Intersection Related,No Control,Clear,"Dark, artificial",Dry,1,Pedestrian Collisions,Pedestrian,50 to 54,West,Unknown,Unknown,Unknown,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Other,Unknown,Yes,No,Pelmo Park-Humberlea,D12
1/28/2022 10:00:00 AM,1506,THE QUEENSWAY,ISLINGTON AVE,Major Arterial,Etobicoke York,43.623351,-79.515498,Non Intersection,No Control,Clear,Daylight,Dry,1,Pedestrian Collisions,Passenger,30 to 34,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Etobicoke City Centre,D22
1/28/2022 10:00:00 AM,1506,THE QUEENSWAY,ISLINGTON AVE,Major Arterial,Etobicoke York,43.623351,-79.515498,Non Intersection,No Control,Clear,Daylight,Dry,1,Pedestrian Collisions,Driver,30 to 34,South,Turning Right,Failed to Yield Right of Way,Inattentive,Unknown,Unknown,Unknown,Unknown,Yes,No,Etobicoke City Centre,D22
1/28/2022 10:00:00 AM,1506,THE QUEENSWAY,ISLINGTON AVE,Major Arterial,Etobicoke York,43.623351,-79.515498,Non Intersection,No Control,Clear,Daylight,Dry,1,Pedestrian Collisions,Pedestrian,80 to 84,East,Unknown,Unknown,Unknown,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,Unknown,Yes,No,Etobicoke City Centre,D22
2/3/2022 10:00:00 AM,922,F G GARDINER XY  W,ROYAL YORK RD,Expressway,Etobicoke York,43.622718,-79.501651,Non Intersection,No Control,Clear,Daylight,Wet,1,Rear End,Driver,25 to 29,West,Going Ahead,Exceeding Speed Limit,Inattentive,Unknown,Unknown,Unknown,Unknown,No,Yes,Mimico-Queensway,D22
2/3/2022 10:00:00 AM,922,F G GARDINER XY  W,ROYAL YORK RD,Expressway,Etobicoke York,43.622718,-79.501651,Non Intersection,No Control,Clear,Daylight,Wet,1,Rear End,Truck Driver,25 to 29,West,Going Ahead,Driving Properly,Normal,Unknown,Unknown,Unknown,Unknown,No,Yes,Mimico-Queensway,D22
